name,regbez,landkreis_id,fund_max_menge,fund_max_year,fund_max_month,fund_max_day,fund_max_ort,ort_max_funde,ort_max,menge,funde,menge_2015,funde_2008,funde_2009,funde_2010,funde_2011,funde_2012,funde_2013,funde_2014,funde_2015
Schwandorf,Oberpfalz,9376,51,2009,7,29,Schwandorf,63,Schwandorf,346,136,"22,87",9,18,5,16,13,12,32,31
Tirschenreuth,Oberpfalz,9377,"342,7",2015,8,30,Waldsassen,249,Waldsassen,4166,313,"1458,92",8,8,15,53,61,51,53,64
Bamberg,Oberfranken,9461,723,2013,9,30,Bamberg,55,Bamberg,1818,55,"120,4",2,4,1,7,8,5,17,11
Bayreuth,Oberfranken,9462,"47,2",2013,8,27,Bayreuth,109,Bayreuth,229,109,"6,43",2,8,3,20,32,13,15,16
Coburg,Oberfranken,9463,42,2014,2,15,Coburg,62,Coburg,114,62,"6,74",0,0,4,8,15,4,23,8
Hof,Oberfranken,9464,60,2011,4,18,Hof,106,Hof,164,106,"7,4",1,0,6,14,41,22,13,9
Bamberg,Oberfranken,9471,180,2012,10,29,Viereth-Trunstadt,3,BreitengÌ_ÌÙbach,357,17,"0,2",0,1,4,5,2,2,1,2
Bayreuth,Oberfranken,9472,514,2015,3,1,Plech,32,Pegnitz,732,61,"516,4",6,4,2,5,17,13,10,4
Coburg,Oberfranken,9473,756,2014,9,22,RÌ¦dental,13,Neustadt bei Coburg,1274,44,"21,81",1,1,4,6,11,5,9,7
Forchheim,Oberfranken,9474,"20,2",2014,8,18,Forchheim,17,Forchheim,56,27,"11,13",0,1,1,2,3,5,10,5
Hof,Oberfranken,9475,252,2012,6,19,MÌ_nchberg,58,Berg,1255,165,"182,1",2,2,10,25,41,29,27,29
Kronach,Oberfranken,9476,548,2015,4,20,Kronach,25,Kronach,1271,44,"609,2",1,0,8,10,6,4,4,11
Kulmbach,Oberfranken,9477,150,2015,1,10,Kulmbach,45,Kulmbach,380,66,"281,13",2,1,5,3,15,12,15,13
Lichtenfels,Oberfranken,9478,400,2011,7,11,Burgkunstadt,16,Lichtenfels,778,29,"164,6",1,2,1,5,5,1,6,8
Wunsiedel im Fichtelgebirge,Oberfranken,9479,"214,3",2010,6,12,Selb,295,Schirnding,6563,563,"955,81",2,6,16,72,125,127,119,96
Ansbach,Mittelfranken,9561,158,2014,3,3,Ansbach,11,Ansbach,209,11,"33,62",0,0,0,3,0,2,3,3
Erlangen,Mittelfranken,9562,556,2011,7,16,Erlangen,57,Erlangen,766,57,"29,91",0,2,3,13,8,10,9,12
FÌ_rth,Mittelfranken,9563,"1422,9",2011,10,20,FÌ_rth,100,FÌ_rth,3009,100,"589,34",1,0,3,21,35,13,13,14
NÌ_rnberg,Mittelfranken,9564,1595,2010,12,4,NÌ_rnberg,583,NÌ_rnberg,8208,583,"940,42",10,9,19,74,119,123,109,120
Schwabach,Mittelfranken,9565,"3,7",2011,10,16,Schwabach,4,Schwabach,sechs,4,"0,6",1,0,0,2,0,0,0,1
Ansbach,Mittelfranken,9571,"15,7",2015,2,27,Weidenbach,4,Wolframs-Eschenbach,61,18,"25,63",0,3,0,3,2,3,4,3
Erlangen-HÌ¦chstadt,Mittelfranken,9572,"143,46",2015,1,17,HÌ¦chstadt an der Aisch,8,HÌ¦chstadt an der Aisch,248,38,"146,25",0,1,5,12,9,4,3,4
FÌ_rth,Mittelfranken,9573,"186,81",2014,2,25,Stein,7,Zirndorf,206,13,"5,8",0,2,0,1,4,1,2,3
NÌ_rnberger Land,Mittelfranken,9574,500,2012,12,3,Schwaig bei NÌ_rnberg,12,Altdorf bei NÌ_rnberg,1702,69,"14,36",1,2,4,15,17,11,8,11
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,9575,112,2013,1,29,Bad Windsheim,11,Neustadt an der Aisch,345,25,0,1,1,2,3,8,8,2,0
Roth,Mittelfranken,9576,1500,2015,7,29,Wendelstein,11,Roth,1717,24,"1503,88",1,2,1,4,6,1,3,6
WeiÌÙenburg-Gunzenhausen,Mittelfranken,9577,"3,7",2011,1,8,Gunzenhausen,5,WeiÌÙenburg in Bayern,elf,9,0,0,1,0,2,3,2,1,0
Aschaffenburg,Unterfranken,9661,"2,85",2013,7,7,Aschaffenburg,6,Aschaffenburg,sieben,6,"0,8",0,0,0,2,1,1,0,2
Schweinfurt,Unterfranken,9662,"5,6",2011,4,4,Schweinfurt,14,Schweinfurt,24,14,"4,36",0,2,0,2,4,1,3,2
WÌ_rzburg,Unterfranken,9663,"111,5",2013,5,16,WÌ_rzburg,42,WÌ_rzburg,171,42,"6,72",0,1,4,4,7,10,9,7
Aschaffenburg,Unterfranken,9671,90,2008,11,25,Bessenbach,3,Weibersbrunn,95,5,"3,7",1,0,0,0,1,0,1,2
Bad Kissingen,Unterfranken,9672,"23,3",2015,7,29,MÌ_nnerstadt,1,MÌ_nnerstadt,24,2,"23,3",0,0,0,0,0,0,1,1
RhÌ¦n-Grabfeld,Unterfranken,9673,50,2014,8,2,Ostheim vor der RhÌ¦n,11,Bad Neustadt an der Saale,73,15,"2,83",0,0,1,1,4,1,3,5
HaÌÙberge,Unterfranken,9674,116,2012,5,23,Theres,13,HaÌÙfurt,182,21,"1,9",0,1,0,5,5,2,6,2
Kitzingen,Unterfranken,9675,"102,3",2011,5,6,Volkach,5,Kitzingen,224,18,"12,53",1,0,1,5,4,3,1,3
Miltenberg,Unterfranken,9676,67,2013,7,29,Niedernberg,2,GroÌÙheubach,130,5,"58,4",0,0,0,0,0,2,1,2
Main-Spessart,Unterfranken,9677,"1,2",2013,1,9,Lohr am Main,4,Arnstein,drei,7,"0,3",0,0,1,0,0,3,1,2
Schweinfurt,Unterfranken,9678,"2,8",2011,8,23,Sulzheim,8,Werneck,acht,14,"1,33",0,0,0,1,1,2,5,5
WÌ_rzburg,Unterfranken,9679,3467,2013,3,19,Hausen bei WÌ_rzburg,9,Hausen bei WÌ_rzburg,3505,17,"2,2",0,0,0,1,2,5,6,3
Augsburg,Schwaben,9761,206,2013,5,6,Augsburg,29,Augsburg,282,29,"0,29",1,0,0,6,4,12,4,2
Kaufbeuren,Schwaben,9762,1,2013,1,23,Kaufbeuren,2,Kaufbeuren,zwei,2,"0,8",0,0,0,0,0,1,0,1
Kempten,Schwaben,9763,"29,6",2012,5,9,Kempten,8,Kempten,39,8,0,0,1,0,3,3,1,0,0
Memmingen,Schwaben,9764,13,2015,8,20,Memmingen,4,Memmingen,17,4,"13,3",0,0,0,0,1,0,1,2
Aichach-Friedberg,Schwaben,9771,15,2015,3,8,Mering,2,Dasing,45,7,"40,34",0,0,0,1,0,0,2,4
Augsburg,Schwaben,9772,495,2009,11,4,Gersthofen,2,Gersthofen,500,4,1,1,1,0,1,0,0,0,1
Dillingen an der Donau,Schwaben,9773,"7,6",2012,6,17,HÌ¦chstÌ_dt an der Donau,1,Dillingen an der Donau,acht,3,0,0,0,0,0,2,0,1,0
GÌ_nzburg,Schwaben,9774,52,2012,7,4,Ichenhausen,3,Ichenhausen,92,11,"15,9",0,0,1,4,1,1,1,3
Neu-Ulm,Schwaben,9775,"9,3",2010,3,28,Neu-Ulm,8,Neu-Ulm,19,12,4,0,1,1,4,0,2,2,2
Lindau (Bodensee),Schwaben,9776,"19,5",2012,8,1,Lindau,5,Lindau,24,6,0,1,0,0,1,2,2,0,0
OstallgÌ_u,Schwaben,9777,"3,91",2014,6,27,ObergÌ_nzburg,4,FÌ_ssen,13,15,"0,35",0,1,3,2,1,2,3,3
UnterallgÌ_u,Schwaben,9778,"55,3",2015,1,8,Bad WÌ¦rishofen,3,Ottobeuren,104,9,"92,2",0,0,0,2,0,1,1,5
Donau-Ries,Schwaben,9779,"4,21",2015,8,27,Rain,2,MÌ¦ttingen,acht,4,"4,21",0,0,2,0,1,0,0,1
OberallgÌ_u,Schwaben,9780,"26,17",2013,1,29,Oberstdorf,8,Oberstdorf,39,10,"7,7",0,0,0,0,3,3,1,3
Garmisch-Partenkirchen,Oberbayern,9180,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,0,0,0,0
