Kriminalpolizeiinspektion,Drogentote in Verbindung mit Crystal Meth von 2010 bis 2015 
Amberg ,7
Ansbach ,2
Augsburg ,3
Augsburg Land ,2
Bamberg ,4
Bayreuth ,3
Coburg ,9
Deggendorf ,1
Dillingen ,1
Erding ,1
Fürth ,4
Hof ,7
Landshut ,4
Lindau ,1
Memmingen ,1
München ,2
München-Land ,1
Nürnberg ,18
Passau ,12
Regensburg ,9
Schwabach ,1
Schweinfurt ,1
Straubing ,3
Traunstein ,1
Weiden in der Oberpfalz ,3
